timestamp,time_utc_usec,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,fix_type,vel_ned_valid,satellites_used
591607432,0,0,0,-17000,0,110.51201,3.1415925,4294967.5,3750049.2,99.99,99.99,100,17,0.0,0.0,0.0,0.0,0.0,0,0,0,0
591807240,0,0,0,-17000,0,110.531006,3.1415925,4294967.5,3750049.2,99.99,99.99,100,17,0.0,0.0,0.0,0.0,0.0,0,0,0,0
592006084,0,0,0,-17000,0,110.549,3.1415925,4294967.5,3750049.5,99.99,99.99,100,17,0.0,0.0,0.0,0.0,0.0,0,0,0,0
592208180,0,0,0,-17000,0,110.56701,3.1415925,4294967.5,3750049.5,99.99,99.99,100,9,0.0,0.0,0.0,0.0,0.0,0,0,0,0
592406023,0,0,0,-17000,0,110.58501,3.1415925,4294967.5,3750049.5,99.99,99.99,100,9,0.0,0.0,0.0,0.0,0.0,0,0,0,0
592607025,0,0,0,-17000,0,110.603004,3.1415925,4294967.5,3750049.5,99.99,99.99,100,9,0.0,0.0,0.0,0.0,0.0,0,0,0,0
592807018,0,0,0,-17000,0,110.621,3.1415925,4294967.5,3750049.5,99.99,99.99,100,9,0.0,0.0,0.0,0.0,0.0,0,0,0,0
593008186,0,0,0,-17000,0,110.63901,3.1415925,4294967.5,3750049.5,99.99,99.99,100,9,0.0,0.0,0.0,0.0,0.0,0,0,0,0
593208020,0,0,0,-17000,0,110.657005,3.1415925,4294967.5,3750049.5,99.99,99.99,100,9,0.0,0.0,0.0,0.0,0.0,0,0,0,0
593408098,0,0,0,-17000,0,110.675,3.1415925,4294967.5,3750049.8,99.99,99.99,100,9,0.0,0.0,0.0,0.0,0.0,0,0,0,0
593608018,0,0,0,-17000,0,110.69301,3.1415925,4294967.5,3750049.8,99.99,99.99,100,9,0.0,0.0,0.0,0.0,0.0,0,0,0,0
593807120,0,0,0,-17000,0,110.711006,3.1415925,4294967.5,3750049.8,99.99,99.99,100,9,0.0,0.0,0.0,0.0,0.0,0,0,0,0
594008089,0,0,0,-17000,0,110.729004,3.1415925,4294967.5,3750049.8,99.99,99.99,100,9,0.0,0.0,0.0,0.0,0.0,0,0,0,0
594207372,0,0,0,-17000,0,110.747,3.1415925,4294967.5,3750049.8,99.99,99.99,100,14,0.0,0.0,0.0,0.0,0.0,0,0,0,0
594409023,0,0,0,-17000,0,110.76601,3.1415925,4294967.5,3750049.8,99.99,99.99,100,14,0.0,0.0,0.0,0.0,0.0,0,0,0,0
594607020,0,0,0,-17000,0,110.784004,3.1415925,4294967.5,3750050.0,99.99,99.99,100,14,0.0,0.0,0.0,0.0,0.0,0,0,0,0
594806105,0,0,0,-17000,0,110.802,3.1415925,4294967.5,3750050.0,99.99,99.99,100,14,0.0,0.0,0.0,0.0,0.0,0,0,0,0
595008237,0,0,0,-17000,0,110.82001,3.1415925,4294967.5,3750050.0,99.99,99.99,100,14,0.0,0.0,0.0,0.0,0.0,0,0,0,0
595209079,0,0,0,-17000,0,110.838005,3.1415925,4294967.5,3750050.2,99.99,99.99,100,11,0.0,0.0,0.0,0.0,0.0,0,0,0,0
595408020,0,0,0,-17000,0,110.856,3.1415925,4294967.5,3750050.2,99.99,99.99,100,11,0.0,0.0,0.0,0.0,0.0,0,0,0,0
595608059,0,0,0,-17000,0,110.87401,3.1415925,4294967.5,3750050.2,99.99,99.99,100,11,0.0,0.0,0.0,0.0,0.0,0,0,0,0
