timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,magnetometer_timestamp_relative,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2],baro_timestamp_relative,baro_alt_meter,baro_temp_celcius
574742877,0.0023771948,0.0026287439,-0.028605733,4000,0,0.0065914197,0.78597087,-9.452222,4000,-12874,-0.12771365,-0.1850306,0.32070822,-6877,-52.725174,42.41
574746912,0.0551813,0.003399565,-0.01958497,4035,0,-0.77072144,-0.29055873,-10.022584,4035,-16909,-0.12771365,-0.1850306,0.32070822,-10912,-52.725174,42.41
574750877,-0.027613185,0.027771661,0.008204861,3965,0,0.6613344,-0.0103437975,-10.305926,3965,-20874,-0.12771365,-0.1850306,0.32070822,-14877,-52.725174,42.41
574754885,-0.053601183,-0.012526532,0.0034712327,4008,0,0.5606922,0.85847324,-9.737794,4008,-1889,-0.12771365,-0.18878634,0.33052197,-18885,-52.725174,42.41
574758877,0.038316872,0.0012289489,-0.0012916205,3992,0,-0.54982966,-0.0029238088,-9.67401,3992,-5881,-0.12771365,-0.18878634,0.33052197,-22877,-52.725174,42.41
574762877,0.015118548,0.017145498,0.023908408,4000,0,-0.17076027,-0.42441836,-10.104626,4000,-9881,-0.12771365,-0.18878634,0.33052197,-3550,-52.80795,42.399998
574766918,-0.061111815,-0.0062704277,0.03558937,4041,0,0.90092015,0.36655828,-9.84394,4041,-13922,-0.12771365,-0.18878634,0.33052197,-7591,-52.80795,42.399998
574770878,0.00033371043,0.00019648853,0.032440867,3960,0,-0.11331843,0.39623886,-9.606343,3960,-17882,-0.12771365,-0.18878634,0.33052197,-884,-52.558987,42.399998
574774877,0.029378494,0.0011064579,0.022212667,3999,0,-0.7526612,-0.3218876,-9.989548,3999,-21881,-0.12771365,-0.18878634,0.33052197,-4883,-52.558987,42.399998
574778877,-0.03385516,0.012380569,0.029241929,4000,0,0.5227317,0.09063092,-10.19036,4000,-2866,-0.108147755,-0.19880173,0.32616028,-8883,-52.558987,42.399998
574782877,-0.040151495,0.00217309,0.03555958,4000,0,0.53017575,0.796491,-9.574354,4000,-6866,-0.108147755,-0.19880173,0.32616028,-1868,-53.055637,42.399998
574786925,0.043788757,-0.0023860312,0.014214044,4048,0,-0.6611391,-0.31250435,-9.762737,4048,-10914,-0.108147755,-0.19880173,0.32616028,-5916,-53.055637,42.399998
574790877,0.0040301955,0.027976839,0.0060602506,3952,0,-0.032636404,-0.45151064,-10.273033,3952,-14866,-0.108147755,-0.19880173,0.32616028,-9868,-53.055637,42.399998
574794877,-0.080705285,-0.0041040652,0.0009765418,4000,0,1.0466694,0.8090289,-9.739087,4000,-18866,-0.108147755,-0.19880173,0.32616028,-13868,-53.055637,42.399998
574798877,0.023695653,0.0045579085,-0.0016974296,4000,0,-0.29288164,0.19633968,-9.53231,4000,-22866,-0.108147755,-0.19880173,0.32616028,-17868,-53.055637,42.399998
574802878,0.03284273,0.009434784,-0.015439026,4001,0,-0.4335979,-0.58628714,-10.102566,4001,-3610,-0.13190635,-0.18377867,0.32616028,-884,-52.47684,42.399998
574806889,-0.057446536,0.011890174,-0.020964948,4011,0,0.97607476,0.2694679,-10.106443,4011,-7621,-0.13190635,-0.18377867,0.32616028,-4895,-52.47684,42.399998
574810878,-0.029976552,-0.001229249,-0.022685941,3989,0,0.25999382,0.92581725,-9.542894,3989,-11610,-0.13190635,-0.18377867,0.32616028,-8884,-52.47684,42.399998
574814877,0.053257372,-0.0056678876,-0.028918762,3999,0,-0.752543,-0.24489619,-9.888076,3999,-15609,-0.13190635,-0.18377867,0.32616028,-1555,-52.725174,42.399998
574818877,-0.01766575,0.025522664,-0.015427844,4000,0,0.33514237,-0.12453821,-10.396681,4000,-19609,-0.13190635,-0.18377867,0.32616028,-5555,-52.725174,42.399998
574822877,-0.06734804,-0.009851922,-0.015545974,4000,0,0.7988237,0.93769455,-9.6468935,4000,-1868,-0.13190635,-0.18753442,0.31634656,-9555,-52.725174,42.399998
574826877,0.05065766,0.0043467004,-0.015571401,4000,0,-0.45335346,-0.02507272,-9.67513,4000,-5868,-0.13190635,-0.18753442,0.31634656,-2821,-52.725174,42.399998
574830877,0.016254406,0.015886419,-0.0047353413,4000,0,-0.3737772,-0.3920809,-10.250343,4000,-9868,-0.13190635,-0.18753442,0.31634656,-6821,-52.725174,42.399998
574834878,-0.079046674,0.0010117275,0.013726751,4001,0,0.9762622,0.6798531,-9.70767,4001,-13869,-0.13190635,-0.18753442,0.31634656,-10822,-52.725174,42.399998
574838877,0.01408049,0.0073702578,0.016308762,3999,0,-0.0037732678,0.5368831,-9.360974,3999,-17868,-0.13190635,-0.18753442,0.31634656,-14821,-52.725174,42.399998
574842877,0.06091501,-0.00497017,0.008899728,4000,0,-0.72191924,-0.66021055,-10.033798,4000,-21868,-0.13190635,-0.18753442,0.31634656,-18821,-52.725174,42.399998
574846877,-0.061722234,0.021657452,0.028245544,4000,0,0.7401022,0.19498792,-10.225103,4000,-4874,-0.1179307,-0.1912902,0.32397947,-1829,-52.890724,42.41
