timestamp,timestamp_last_signal,channel_count,rssi,rc_lost_frame_count,rc_total_frame_count,rc_ppm_frame_length,values[0],values[1],values[2],values[3],values[4],values[5],values[6],values[7],values[8],values[9],values[10],values[11],values[12],values[13],values[14],values[15],values[16],values[17],rc_failsafe,rc_lost,input_source
217028583,217028583,7,255,0,0,0,1499,1504,1231,1496,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
217228326,217228326,7,255,0,0,0,1499,1504,1252,1496,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
217428316,217428316,7,255,0,0,0,1499,1504,1258,1496,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
217628317,217628317,7,255,0,0,0,1499,1504,1269,1496,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
217833049,217833049,7,255,0,0,0,1499,1504,1283,1496,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
218037400,218037400,7,255,0,0,0,1499,1504,1300,1496,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
218253354,218253354,7,255,0,0,0,1499,1504,1311,1496,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
218457103,218457103,7,255,0,0,0,1499,1504,1324,1496,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
218657844,218657844,7,255,0,0,0,1499,1504,1349,1496,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
218845844,218845844,7,255,0,0,0,1499,1504,1363,1496,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
219053921,219053921,7,255,0,0,0,1499,1504,1386,1496,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
219249915,219249915,7,255,0,0,0,1499,1504,1400,1496,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
219458756,219458756,7,255,0,0,0,1499,1504,1410,1496,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
219659102,219659102,7,255,0,0,0,1499,1504,1420,1496,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
219858759,219858759,7,255,0,0,0,1499,1504,1424,1496,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
