timestamp,timestamp_received,id,q[0],q[1],q[2],q[3],x,y,z
223083173,223083173,240,-0.70735085,-0.001240953,-0.0006000196,-0.7068613,-0.29800162,-3.4898949,-0.9994751
223388540,223388540,240,-0.7071983,-0.0004837432,-0.000560364,-0.7070149,-0.2979729,-3.4899406,-0.99951094
223390117,223390117,240,-0.707404,0.00014745152,2.7788454e-05,-0.7068095,-0.29793823,-3.4899356,-0.9994912
223692113,223692113,240,-0.70735973,-0.00033124778,4.7050205e-05,-0.70685375,-0.29788613,-3.4899461,-0.9995303
223697474,223697474,240,-0.7086918,0.0014177916,-0.00086032855,-0.7055164,-0.2980614,-3.4899318,-0.9994283
224000312,224000312,240,-0.7070379,-0.00041523683,0.00018109824,-0.70717543,-0.2979192,-3.489952,-0.99950445
224006812,224006812,240,-0.7072365,-0.00016774899,0.00028735973,-0.706977,-0.29791704,-3.489924,-0.9995054
224309224,224309224,240,-0.70729935,-0.0010289127,-0.00045736117,-0.7069134,-0.2980185,-3.489916,-0.9994623
224311404,224311404,240,-0.7076778,-0.0004127185,-0.00074984133,-0.70653474,-0.29792705,-3.489989,-0.99955606
224616551,224616552,240,-0.7071749,-0.00077723875,-0.00043043745,-0.7070382,-0.2979969,-3.489914,-0.9995343
224620057,224620057,240,-0.70732266,2.3475686e-05,8.233838e-05,-0.7068909,-0.29795846,-3.4899251,-0.99950635
224925367,224925367,240,-0.70747006,-3.0563675e-05,-3.402348e-05,-0.70674336,-0.29797676,-3.4899046,-0.9995057
224931073,224931074,240,-0.7071408,-0.00015541921,-0.000117868614,-0.70707273,-0.2979289,-3.4899871,-0.9995126
225228381,225228382,240,-0.70711464,-0.00014208528,-0.00023831103,-0.70709896,-0.29793787,-3.489958,-0.99950296
225237039,225237039,240,-0.70875996,0.0016429926,-0.0006316534,-0.70544755,-0.29807755,-3.4899101,-0.9994138
225537796,225537796,240,-0.70717484,-0.00030504886,0.00015292286,-0.7070387,-0.2979404,-3.4899287,-0.9995
225540346,225540346,240,-0.70837516,0.0016546412,-0.0004691484,-0.70583403,-0.29807958,-3.4899468,-0.9993945
225845775,225845775,240,-0.7072563,-0.00089945894,-0.00051375455,-0.7069566,-0.2979425,-3.4899375,-0.9995325
225849188,225849188,240,-0.70722747,-0.00069531164,-0.0004130304,-0.7069856,-0.2979623,-3.4899333,-0.999535
226153815,226153815,240,-0.70743346,-0.00081797777,-0.00028284854,-0.7067794,-0.297972,-3.4899065,-0.99956465
226157356,226157356,240,-0.7087256,0.0018661798,-0.0006734654,-0.7054816,-0.29808322,-3.4899278,-0.9994121
226458302,226458302,240,-0.7073795,0.00046698857,0.00039004174,-0.7068338,-0.29798055,-3.489975,-0.9994685
226482099,226482099,240,-0.707201,-0.00018979388,0.00045413864,-0.7070124,-0.29795262,-3.4899204,-0.99949193
226550061,226550061,240,-0.70758075,0.00021812573,0.0005621384,-0.7066323,-0.29791993,-3.4900076,-0.9994572
226766083,226766084,240,-0.70727634,-0.00021751785,2.916179e-06,-0.70693725,-0.29793116,-3.4899547,-0.99950325
226766764,226766764,240,-0.7074115,0.00022872588,0.000116808886,-0.7068019,-0.29798025,-3.4899402,-0.9994863
227072143,227072143,240,-0.70720583,0.00015578477,0.0001564005,-0.7070077,-0.29790923,-3.489934,-0.99948585
227078789,227078789,240,-0.7073128,-0.00038500462,0.0001431813,-0.7069006,-0.29792038,-3.4899352,-0.99949986
227381621,227381622,240,-0.70711136,-0.0010348234,-0.00044840964,-0.70710135,-0.29798234,-3.4899273,-0.9994502
227383347,227383347,240,-0.7073082,-0.00075680163,-0.0005809091,-0.7069047,-0.2978786,-3.489953,-0.9995227
227686118,227686118,240,-0.7071948,-0.002970077,-0.0020922332,-0.70700943,-0.2978368,-3.489992,-0.9996235
227692185,227692185,240,-0.70723844,-0.00084344385,-0.00020445655,-0.7069746,-0.29794255,-3.489934,-0.9995256
227997226,227997226,240,-0.7074784,-0.00032663863,-0.00011739685,-0.706735,-0.29796088,-3.489945,-0.99949807
227999499,227999499,240,-0.7075727,-0.0032373818,-0.0023197283,-0.70662934,-0.29788712,-3.4899993,-0.99962354
228301298,228301298,240,-0.70728767,-0.0015269308,-0.00088984927,-0.7069237,-0.29792842,-3.4899216,-0.99948984
228308016,228308016,240,-0.70723003,-0.00023809487,0.00016721342,-0.7069835,-0.29797813,-3.4899137,-0.99949414
228606800,228606800,240,-0.7073034,-0.00015872205,1.5791918e-05,-0.7069102,-0.297955,-3.4899266,-0.99950415
228615279,228615280,240,-0.70785254,-0.002875339,-0.0022751635,-0.70635074,-0.2978452,-3.4899585,-0.9996421
228918102,228918102,240,-0.7072983,-0.00022867134,-1.1334693e-05,-0.70691526,-0.29793632,-3.4899333,-0.9994921
