timestamp,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,yaw,ref_alt,dist_bottom,dist_bottom_rate,eph,epv,evh,evv,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,xy_global,z_global,dist_bottom_valid
414497232,0,0.0,0.0,-0.298014,-3.489951,-0.70443225,0.0,0.0,0.0,-0.17889766,-0.024184542,1.0975293,1.0975293,0.0,0.0,0.0,0.0,0.0,0.0,1.5663775,0.0,0.7044323,-1.0975293,0.18403128,0.13040069,0.0,0.0,0,1,0,1,0,0,0,0,0,0,1
414607326,0,0.0,0.0,-0.2980135,-3.4899507,-0.5844815,0.0,0.0,0.0,-0.17889763,-0.024184536,1.0657411,1.0657411,0.0,0.0,0.0,0.0,0.0,0.0,1.5661294,0.0,0.5844814,-1.0657411,0.24667832,0.1748133,0.0,0.0,0,1,0,1,0,0,0,0,0,0,1
414707377,0,0.0,0.0,-0.2980135,-3.4899507,-0.47816622,0.0,0.0,0.0,-0.17889765,-0.02418454,1.0712473,1.0712473,0.0,0.0,0.0,0.0,0.0,0.0,1.5659826,0.0,0.4781662,-1.0712473,0.30368248,0.21522766,0.0,0.0,0,1,0,1,0,0,0,0,0,0,1
414807421,0,0.0,0.0,-0.2980135,-3.4899507,-0.3709358,0.0,0.0,0.0,-0.17889765,-0.02418454,1.0678222,1.0678222,0.0,0.0,0.0,0.0,0.0,0.0,1.5658817,0.0,0.3709358,-1.0678222,0.36077595,0.25570723,0.0,0.0,0,1,0,1,0,0,0,0,0,0,1
414907520,0,0.0,0.0,-0.2980135,-3.4899507,-0.2635199,0.0,0.0,0.0,-0.17889762,-0.024184538,1.0645161,1.0645161,0.0,0.0,0.0,0.0,0.0,0.0,1.5657382,0.0,0.2635199,-1.0645161,0.41800445,0.29628435,0.0,0.0,0,1,0,1,0,0,0,0,0,0,1
415007607,0,0.0,0.0,-0.2980135,-3.4899507,-0.1568659,0.0,0.0,0.0,-0.17889762,-0.02418454,1.0810003,1.0810003,0.0,0.0,0.0,0.0,0.0,0.0,1.5655541,0.0,0.1568659,-1.0810003,0.47533557,0.33693597,0.0,0.0,0,1,0,1,0,0,0,0,0,0,1
415107644,0,0.0,0.0,-0.2980135,-3.4899507,-0.05106835,0.0,0.0,0.0,-0.17889762,-0.02418454,1.0404198,1.0404198,0.0,0.0,0.0,0.0,0.0,0.0,1.5651411,0.0,0.05106835,-1.0404198,0.53275055,0.37764877,0.0,0.0,0,1,0,1,0,0,0,0,0,0,1
415207677,0,0.0,0.0,-0.2980135,-3.4899507,0.053952545,0.0,0.0,0.0,-0.17889763,-0.02418454,1.0464213,1.0464213,0.0,0.0,0.0,0.0,0.0,0.0,1.5654508,0.0,-0.05395254,-1.0464213,0.59027743,0.41844255,0.0,0.0,0,1,0,1,0,0,0,0,0,0,1
415317710,0,0.0,0.0,-0.2980135,-3.4899507,0.16864806,0.0,0.0,0.0,-0.17889762,-0.02418454,1.043149,1.043149,0.0,0.0,0.0,0.0,0.0,0.0,1.5655369,0.0,-0.16864806,-1.043149,0.65368813,0.46341068,0.0,0.0,0,1,0,1,0,0,0,0,0,0,1
415417741,0,0.0,0.0,-0.2980135,-3.4899507,0.2729091,0.0,0.0,0.0,-0.17889763,-0.02418454,1.045981,1.045981,0.0,0.0,0.0,0.0,0.0,0.0,1.565562,0.0,-0.27290908,-1.045981,0.7114566,0.5043793,0.0,0.0,0,1,0,1,0,0,0,0,0,0,1
415517773,0,0.0,0.0,-0.2980135,-3.4899507,0.3788603,0.0,0.0,0.0,-0.17889765,-0.02418454,1.0710049,1.0710049,0.0,0.0,0.0,0.0,0.0,0.0,1.5650783,0.0,-0.37886027,-1.0710049,0.76934195,0.54543245,0.0,0.0,0,1,0,1,0,0,0,0,0,0,1
415617803,0,0.0,0.0,-0.2980135,-3.489951,0.48453012,0.0,0.0,0.0,-0.17889765,-0.02418454,1.0545743,1.0545743,0.0,0.0,0.0,0.0,0.0,0.0,1.565604,0.0,-0.48453012,-1.0545743,0.8273428,0.5865691,0.0,0.0,0,1,0,1,0,0,0,0,0,0,1
415717839,0,0.0,0.0,-0.2980135,-3.4899507,0.59087455,0.0,0.0,0.0,-0.17889765,-0.02418454,1.052177,1.052177,0.0,0.0,0.0,0.0,0.0,0.0,1.5648471,0.0,-0.59087455,-1.052177,0.8854639,0.6277927,0.0,0.0,0,1,0,1,0,0,0,0,0,0,1
415817937,0,0.0,0.0,-0.2980135,-3.4899507,0.69631207,0.0,0.0,0.0,-0.17889763,-0.02418454,1.0653739,1.0653739,0.0,0.0,0.0,0.0,0.0,0.0,1.5653558,0.0,-0.6963121,-1.0653739,0.94373786,0.6691263,0.0,0.0,0,1,0,1,0,0,0,0,0,0,1
415918025,0,0.0,0.0,-0.2980135,-3.4899507,0.80145043,0.0,0.0,0.0,-0.17889765,-0.02418454,1.0364945,1.0364945,0.0,0.0,0.0,0.0,0.0,0.0,1.5649002,0.0,-0.80145043,-1.0364945,1.0021231,0.71054035,0.0,0.0,0,1,0,1,0,0,0,0,0,0,1
